date,criterion_id,conversion,click,score,f_holiday,f_monday,f_tuesday,f_wednesday,f_thirsday,f_sunday,f_1_word,f_2_word,cvr
2013-07-08,85414464,0,3,10,0,1,0,0,0,0,0,1,0
2013-07-09,85414464,0,1,10,0,0,1,0,0,0,0,1,0
2013-07-10,85414464,0,3,10,0,0,0,1,0,0,0,1,0
2013-07-12,85414464,0,1,10,0,0,0,0,0,0,0,1,0
2013-07-08,83334010,0,1,10,0,1,0,0,0,0,0,1,0
2013-07-09,83334010,0,1,10,0,0,1,0,0,0,0,1,0
2013-07-11,83334010,0,3,10,0,0,0,0,1,0,0,1,0
2013-07-12,83334010,0,2,10,0,0,0,0,0,0,0,1,0
2013-07-08,85414638,0,2,9,0,1,0,0,0,0,1,0,0
2013-07-11,85414638,0,8,8,0,0,0,0,1,0,1,0,0
2013-07-12,85414638,0,1,9,0,0,0,0,0,0,1,0,0
2013-07-04,85414654,0,1,10,0,0,0,0,1,0,1,0,0
2013-07-13,73517441,0,2,8,1,0,0,0,0,0,0,1,0
2013-06-24,73517602,0,7,7,0,1,0,0,0,0,0,1,0
2013-06-27,73517602,0,5,7,0,0,0,0,1,0,0,1,0
2013-06-28,73517602,0,1,7,0,0,0,0,0,0,0,1,0
2013-07-06,91853249,0,1,10,1,0,0,0,0,0,0,1,0
2013-07-07,91853249,0,3,10,1,0,0,0,0,1,0,1,0
2013-07-08,91853249,0,3,10,0,1,0,0,0,0,0,1,0
2013-07-09,91853249,0,2,10,0,0,1,0,0,0,0,1,0
2013-07-08,73474407,0,2,10,0,1,0,0,0,0,0,1,0
2013-07-12,73474407,0,4,10,0,0,0,0,0,0,0,1,0
2013-07-13,73474407,0,2,10,1,0,0,0,0,0,0,1,0
2013-07-14,73474407,0,1,10,1,0,0,0,0,1,0,1,0
2013-06-24,73482359,0,5,10,0,1,0,0,0,0,0,1,0
2013-06-25,73482359,0,3,10,0,0,1,0,0,0,0,1,0
2013-06-26,73482359,0,2,10,0,0,0,1,0,0,0,1,0
2013-06-27,73482359,0,3,10,0,0,0,0,1,0,0,1,0
2013-07-11,91854368,0,14,10,0,0,0,0,1,0,0,0,0
2013-07-12,91854368,1,15,10,0,0,0,0,0,0,0,0,0.0666666666666667
2013-07-13,91854368,0,12,10,1,0,0,0,0,0,0,0,0
2013-07-14,91854368,1,14,10,1,0,0,0,0,1,0,0,0.0714285714285714
2013-06-23,85414796,0,1,10,1,0,0,0,0,1,0,0,0
2013-06-24,85414796,0,3,10,0,1,0,0,0,0,0,0,0
2013-06-25,85414796,0,2,10,0,0,1,0,0,0,0,0,0
2013-06-26,85414796,0,14,10,0,0,0,1,0,0,0,0,0
2013-06-29,85413822,0,4,10,1,0,0,0,0,0,0,1,0
2013-07-03,85413822,0,2,10,0,0,0,1,0,0,0,1,0
2013-07-07,85413822,0,1,10,1,0,0,0,0,1,0,1,0
2013-07-09,85413822,0,4,10,0,0,1,0,0,0,0,1,0
2013-06-24,91854442,0,2,10,0,1,0,0,0,0,0,1,0
2013-06-28,91854442,0,2,10,0,0,0,0,0,0,0,1,0
2013-06-29,91854442,0,6,10,1,0,0,0,0,0,0,1,0
2013-06-30,91854442,0,1,10,1,0,0,0,0,1,0,1,0
2013-07-12,91855156,0,1,10,0,0,0,0,0,0,0,1,0
2013-07-13,91855156,0,2,10,1,0,0,0,0,0,0,1,0
2013-07-14,91855156,0,2,10,1,0,0,0,0,1,0,1,0
2013-06-23,91855190,0,1,10,1,0,0,0,0,1,0,1,0
2013-07-07,97869064,0,1,10,1,0,0,0,0,1,0,1,0
2013-07-08,97869064,0,2,10,0,1,0,0,0,0,0,1,0
2013-07-09,97869064,0,1,10,0,0,1,0,0,0,0,1,0
2013-07-10,97869064,0,1,10,0,0,0,1,0,0,0,1,0
2013-07-13,47529562,0,6,10,1,0,0,0,0,0,1,0,0
2013-07-14,47529562,0,1,10,1,0,0,0,0,1,1,0,0
2013-06-29,47609254,0,2,10,1,0,0,0,0,0,1,0,0
2013-06-30,47609254,0,2,10,1,0,0,0,0,1,1,0,0
2013-06-28,91857499,0,1,10,0,0,0,0,0,0,0,1,0
2013-07-01,91857499,0,1,10,0,1,0,0,0,0,0,1,0
2013-07-02,91857499,0,2,10,0,0,1,0,0,0,0,1,0
2013-07-03,91857499,0,2,10,0,0,0,1,0,0,0,1,0
2013-06-27,96618152,0,2,10,0,0,0,0,1,0,0,1,0
2013-06-28,96618152,0,1,10,0,0,0,0,0,0,0,1,0
2013-06-30,96618152,0,2,10,1,0,0,0,0,1,0,1,0
2013-07-01,96618152,0,1,10,0,1,0,0,0,0,0,1,0
2013-06-24,96660144,0,5,10,0,1,0,0,0,0,0,1,0
2013-07-01,96660144,0,1,10,0,1,0,0,0,0,0,1,0
2013-07-02,96660144,1,5,10,0,0,1,0,0,0,0,1,0.2
2013-07-03,96660144,2,5,10,0,0,0,1,0,0,0,1,0.4
2013-06-29,96631038,0,6,10,1,0,0,0,0,0,1,0,0
2013-06-30,96631038,0,1,10,1,0,0,0,0,1,1,0,0
2013-07-02,96631038,0,2,10,0,0,1,0,0,0,1,0,0
2013-07-03,96631038,0,1,10,0,0,0,1,0,0,1,0,0
2013-07-02,73519544,0,1,10,0,0,1,0,0,0,0,1,0
2013-07-05,73519544,0,1,10,0,0,0,0,0,0,0,1,0
2013-07-06,73519544,0,1,10,1,0,0,0,0,0,0,1,0
2013-07-07,73519544,0,5,10,1,0,0,0,0,1,0,1,0
2013-07-06,73476149,0,1,10,1,0,0,0,0,0,0,1,0
2013-07-09,73476149,0,2,10,0,0,1,0,0,0,0,1,0
2013-07-10,73476149,0,5,10,0,0,0,1,0,0,0,1,0
2013-07-14,73476149,0,3,10,1,0,0,0,0,1,0,1,0
2013-07-12,91855518,0,1,10,0,0,0,0,0,0,0,1,0
2013-06-23,91855528,0,1,7,1,0,0,0,0,1,1,0,0
2013-06-24,91855528,0,3,7,0,1,0,0,0,0,1,0,0
2013-06-25,91855528,0,3,7,0,0,1,0,0,0,1,0,0
2013-07-02,96445273,0,1,3,0,0,1,0,0,0,1,0,0
2013-07-04,96445273,0,1,3,0,0,0,0,1,0,1,0,0
2013-07-05,96445273,0,3,3,0,0,0,0,0,0,1,0,0
2013-07-06,96445273,0,5,3,1,0,0,0,0,0,1,0,0
2013-07-04,73492551,1,6,4,0,0,0,0,1,0,0,1,0.166666666666667
2013-07-09,73492551,0,1,4,0,0,1,0,0,0,0,1,0
2013-07-10,73492551,0,1,4,0,0,0,1,0,0,0,1,0
2013-06-23,73492598,0,3,10,1,0,0,0,0,1,0,1,0
2013-07-03,77817696,0,3,10,0,0,0,1,0,0,0,1,0
2013-07-04,77817696,0,1,10,0,0,0,0,1,0,0,1,0
2013-07-07,77817696,0,3,10,1,0,0,0,0,1,0,1,0
2013-07-08,77817696,0,5,10,0,1,0,0,0,0,0,1,0
2013-07-04,73502287,0,4,10,0,0,0,0,1,0,0,1,0
2013-07-05,73502287,0,1,10,0,0,0,0,0,0,0,1,0
2013-07-06,73502287,0,1,10,1,0,0,0,0,0,0,1,0
2013-07-07,73502287,0,1,10,1,0,0,0,0,1,0,1,0
